tourney_id,tourney_name,surface,draw_size,winner_ht,winner_age,winner_rank,winner_rank_points,winner_ioc
2000-717,Orlando,Clay,32,185.0,27.1813826146,113.0,351.0,FRA
2000-717,Orlando,Clay,32,183.0,19.7563312799,352.0,76.0,CHI
2000-717,Orlando,Clay,32,185.0,20.8815879535,103.0,380.0,THA
2000-717,Orlando,Clay,32,183.0,30.0479123888,107.0,371.0,NED
2000-717,Orlando,Clay,32,185.0,30.0752908966,74.0,543.0,AUS
2000-717,Orlando,Clay,32,185.0,22.0205338809,92.0,429.0,CZE
2000-717,Orlando,Clay,32,178.0,30.3682409309,120.0,322.0,ARG
2000-717,Orlando,Clay,32,178.0,23.7399041752,79.0,516.0,USA
2000-717,Orlando,Clay,32,183.0,20.5585215606,89.0,464.0,CHI
2000-717,Orlando,Clay,32,188.0,25.5386721424,125.0,315.0,SVK
2000-717,Orlando,Clay,32,173.0,22.0013689254,165.0,221.0,USA
2000-717,Orlando,Clay,32,180.0,34.8720054757,72.0,550.0,ITA
2000-717,Orlando,Clay,32,185.0,22.869267624899997,205.0,160.0,ROU
2000-717,Orlando,Clay,32,188.0,22.4476386037,100.0,385.0,GER
2000-717,Orlando,Clay,32,185.0,19.7837097878,148.0,253.0,BEL
2000-717,Orlando,Clay,32,185.0,23.460643394899996,216.0,155.0,PAR
2000-717,Orlando,Clay,32,183.0,19.7563312799,352.0,76.0,CHI
2000-717,Orlando,Clay,32,185.0,20.8815879535,103.0,380.0,THA
2000-717,Orlando,Clay,32,185.0,22.0205338809,92.0,429.0,CZE
2000-717,Orlando,Clay,32,178.0,30.3682409309,120.0,322.0,ARG
2000-717,Orlando,Clay,32,183.0,20.5585215606,89.0,464.0,CHI
2000-717,Orlando,Clay,32,180.0,34.8720054757,72.0,550.0,ITA
2000-717,Orlando,Clay,32,188.0,22.4476386037,100.0,385.0,GER
2000-717,Orlando,Clay,32,185.0,23.460643394899996,216.0,155.0,PAR
2000-717,Orlando,Clay,32,183.0,19.7563312799,352.0,76.0,CHI
2000-717,Orlando,Clay,32,178.0,30.3682409309,120.0,322.0,ARG
2000-717,Orlando,Clay,32,183.0,20.5585215606,89.0,464.0,CHI
2000-717,Orlando,Clay,32,185.0,23.460643394899996,216.0,155.0,PAR
2000-717,Orlando,Clay,32,183.0,19.7563312799,352.0,76.0,CHI
2000-717,Orlando,Clay,32,183.0,20.5585215606,89.0,464.0,CHI
2000-717,Orlando,Clay,32,183.0,19.7563312799,352.0,76.0,CHI
2000-409,Atlanta,Clay,32,180.0,29.9493497604,1.0,5059.0,USA
2000-409,Atlanta,Clay,32,185.0,21.9630390144,101.0,393.0,CZE
2000-409,Atlanta,Clay,32,175.0,20.6652977413,117.0,336.0,CZE
2000-409,Atlanta,Clay,32,180.0,31.3867214237,74.0,555.0,USA
2000-409,Atlanta,Clay,32,193.0,30.045174538,36.0,891.0,SWE
2000-409,Atlanta,Clay,32,185.0,30.0177960301,92.0,437.0,AUS
2000-409,Atlanta,Clay,32,183.0,20.501026694,89.0,447.0,CHI
2000-409,Atlanta,Clay,32,180.0,26.8528405202,57.0,699.0,ARM
2000-409,Atlanta,Clay,32,188.0,27.2689938398,43.0,796.0,USA
2000-409,Atlanta,Clay,32,178.0,29.0239561944,168.0,215.0,AUS
2000-409,Atlanta,Clay,32,185.0,22.688569473,125.0,325.0,ESP
2000-409,Atlanta,Clay,32,175.0,28.131416837800003,37.0,879.0,USA
